,THRESHOLD:,5,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,TRUE,FALSE,,,All,White,Black,Black Pro,,,,
,TRUE,1709,927,,Acc,0.658,0.678,0.642,0.638,,,,
,FALSE,1542,3036,,Prec,0.648,0.643,0.659,0.630,,,,
,,,,,Rec,0.526,0.408,0.628,0.720,,,,
,,TRUE,FALSE,,,7214,2454,3696,3696,,,,
Caucasian,TRUE,394,219,,16.1%,8.9%,,,,,,,
Caucasian,FALSE,572,1269,,23.3%,51.7%,,,,,,,
,,,,,,,,,,,,,
,,TRUE,FALSE,,,,,,,,,,
African-American,TRUE,1193,616,,32.3%,16.7%,86.757990867579900%,,,,,,
African-American,FALSE,708,1179,,19.2%,31.9%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Afro,,1369,805,,37%,22%,,,,,,,
Afro,,532,990,,14%,27%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,505,349,,,,,,,False Positive Rate,,,
,,461,1139,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Black,White
,,,,,,,,,,,FP,34%,15%
,,,,,,,,,,,FN,37%,59%
,,,,,Caucasian,African-American,,,,,,,
,,,,1,681,398,,,,1871,,,
,,,,2,361,393,,,,,"Labeled High Risk, No Reoffense",,
,,,,3,273,346,,,,,"Labeled Lower Risk, Yes Reoffense",,
,,,,4,285,385,,,,,,,
,,,,5,241,365,,,,,,,
,,,,6,194,384,,,,,,,
,,,,7,143,400,,,,,,,
,,,,8,114,359,,,,,,,
,,,,9,98,380,,,,,,,
,,,,10,64,286,,,,,,,
